"genre","popularity","acousticness","loudness","duration_ms","liveness","tempo","speechiness","danceability","mode","track_name","valence","speechiness.level","loudness.level","liveness.level","tempo.level","duration_s"
"Country",38,0.106,-13.99,151160,0.269,177.076,0.0467,0.478,"Major","Pick Up the Tempo - Remastered",0.807,"Medium","Low","High","Fast",151.16
"Country",38,0.414,-8.125,215707,0.15,91.73,0.0344,0.668,"Major","The Door Is Always Open",0.315,"Low","Low","High","Slow",215.707
"Country",74,0.00403,-7.221,238493,0.0926,119.073,0.0972,0.609,"Major","Burning Man",0.492,"High","Medium","Low","Moderate",238.493
"Country",47,0.403,-8.18,265267,0.0924,113.673,0.032,0.546,"Major","Barbed Wire Halo",0.372,"Low","Low","Low","Moderate",265.267
"Country",49,0.669,-6.641,126920,0.173,83.619,0.0934,0.684,"Major","Don't Come Home A-Drinkin' (With Lovin' On Your Mind)",0.866,"High","Medium","High","Slow",126.92
"Country",51,0.00537,-5.563,206013,0.14,126.97,0.0358,0.547,"Major","Long Live The Night",0.361,"Low","Medium","High","Moderate",206.013
"Country",62,0.0353,-3.341,185920,0.122,152.089,0.0291,0.561,"Major","Pickin' Wildflowers",0.667,"Low","High","High","Fast",185.92
"Country",60,0.532,-7.31,144187,0.0511,163.245,0.0857,0.686,"Major","Louisiana Saturday Night",0.982,"High","Medium","Low","Fast",144.187
"Country",70,0.0961,-5.059,191987,0.395,143.868,0.0362,0.522,"Major","Houston, We Got a Problem",0.486,"Low","High","High","Fast",191.987
"Country",43,0.88,-12.004,263093,0.0921,139.08,0.0421,0.465,"Major","Fisher Road To Hollywood",0.201,"Medium","Low","Low","Fast",263.093
"Country",39,0.5,-10.544,143547,0.135,83.211,0.0487,0.684,"Major","Mental Cruelty (feat. Kacey Musgraves)",0.669,"Medium","Low","High","Slow",143.547
"Country",49,0.492,-8.201,203160,0.095,90.972,0.0294,0.72,"Major","Knee Deep (feat. Jimmy Buffett) - Greatest Hits Version",0.591,"Low","Low","Low","Slow",203.16
"Country",39,0.845,-10.758,165533,0.118,86.915,0.0281,0.536,"Major","Living On Memories of You",0.462,"Low","Low","Low","Slow",165.533
"Country",51,0.0508,-6.509,195884,0.141,108.021,0.0424,0.614,"Minor","Way Too Long",0.144,"Medium","Medium","High","Moderate",195.884
"Country",41,0.965,-14.024,188573,0.165,124.194,0.0365,0.564,"Major","Hide Me Babe",0.203,"Low","Low","High","Moderate",188.573
"Country",54,0.113,-3.71,171120,0.184,151.981,0.0399,0.554,"Major","Shut Me Up",0.846,"Medium","High","High","Fast",171.12
"Country",55,0.00109,-6.329,310307,0.278,155.875,0.0417,0.556,"Minor","Single For The Summer",0.516,"Medium","Medium","High","Fast",310.307
"Country",74,0.0267,-3.144,174255,0.352,99.983,0.0512,0.592,"Major","Take It From Me",0.674,"Medium","High","High","Slow",174.255
"Country",53,0.0243,-4.863,188987,0.219,162.092,0.0284,0.596,"Major","Got Your Name On It",0.537,"Low","High","High","Fast",188.987
"Country",53,0.957,-11.721,155160,0.0912,105.724,0.0307,0.501,"Major","Never Break",0.232,"Low","Low","Low","Moderate",155.16
"Country",42,0.945,-11.031,299907,0.133,93.775,0.029,0.505,"Major","Here I Am, Lord",0.274,"Low","Low","High","Slow",299.907
"Country",37,0.0238,-5.2,167106,0.237,140.152,0.2,0.774,"Major","Drop That Boom",0.612,"High","High","High","Fast",167.106
