"","genre","artist_name","track_name","track_id","popularity","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence"
"1","Alternative","Cake","The Distance","0xMEF2WiqKWTIG7Krjungw",62,0.00796,0.463,179653,0.749,0.00219,"B",0.0558,-8.118,"Minor",0.0891,183.048,"4/4",0.888
"2","Alternative","Puscifer","Rev 22-20","6SUnoDnmFVceYuQd0DNy3P",42,0.0214,0.703,279092,0.882,0.102,"G",0.12,-5.146,"Major",0.0522,116.005,"3/4",0.541
"3","Alternative","System Of A Down","Dreaming","4uCfGqrF2OHcav71k0bk9D",51,0.0022,0.19,239867,0.979,0,"F",0.75,-1.472,"Minor",0.0544,181.251,"4/4",0.485
"4","Alternative","Death Grips","Guillotine","3IrcvqIf3ZiBhf3xdsctRX",48,0.0678,0.561,223364,0.64,0.000387,"B",0.148,-5.042,"Minor",0.287,78.464,"4/4",0.196
"5","Alternative","The Neighbourhood","Wiped Out!","4Tp4gRuDo1sIMP6gH9LwuH",54,0.0113,0.571,373373,0.737,0.000477,"A",0.3,-6.53,"Minor",0.027,127.975,"4/4",0.0656
"6","Alternative","Bad Wolves","Zombie (Acoustic)","4Y2bR875LdPq9JILrY2FSw",55,0.0646,0.499,259253,0.494,0,"D",0.182,-6.069,"Minor",0.0264,77.011,"4/4",0.129
"7","Alternative","Turnover","Sunshine Type","7HVsj2KyxZV5Suo79k6nO6",47,0.452,0.634,186624,0.642,0.0174,"F#",0.114,-8.186,"Major",0.0243,110.914,"4/4",0.695
"8","Alternative","Bad Wolves","Remember When (Acoustic)","25AKPsBB1g848Kpsq4YxXL",41,0.264,0.307,209773,0.477,0,"C",0.106,-7.79,"Minor",0.0279,85.775,"4/4",0.293
"9","Alternative","The Score","The Fear","2cppGOIz0cuDnKoGzrDsJQ",59,0.00686,0.498,183853,0.628,0,"G",0.362,-5.709,"Minor",0.0317,138.099,"4/4",0.218
"10","Alternative","Thrice","Beyond The Pines","6QbWwa7R89HU9enfSadkw8",43,0.0724,0.345,336427,0.295,9.54e-06,"B",0.0911,-11.457,"Minor",0.0367,140.039,"5/4",0.126
"11","Alternative","Incubus","Promises, Promises","0534jmQ0dYChW5MSzYXNVr",46,0.0194,0.59,265960,0.711,0,"C",0.122,-7.589,"Major",0.0247,143.937,"4/4",0.847
"12","Alternative","Kiana Ledé","If You Hate Me","0J5AQQIUxcsGaaZkTEztLa",53,0.165,0.698,197173,0.399,0,"B",0.182,-7.517,"Major",0.0559,129.908,"4/4",0.194
"13","Alternative","Chevelle","A Miracle","3EUdtxrn2HMEPxb03Akm6B",41,0.000411,0.338,331200,0.69,0.00199,"C",0.0696,-5.978,"Major",0.0355,79.967,"4/4",0.149
"14","Alternative","(Sandy) Alex G","Gretel","3wo2vH5125yYbkxSRxyI6O",55,0.118,0.449,190218,0.875,0.469,"G#",0.29,-6.172,"Major",0.041,140.078,"4/4",0.43
"15","Alternative","Creed","A Thousand Faces","5NnYhHDo5BxDkAXEerswYD",46,0.0114,0.233,294720,0.917,2.11e-05,"D",0.313,-3.389,"Major",0.0612,157.208,"4/4",0.2
"16","Alternative","Disturbed","The Infection","7pJcMQXKQiR9mmCeLt9lFm",47,5.88e-05,0.401,248840,0.953,0.0112,"B",0.213,-2.119,"Major",0.0814,188.039,"4/4",0.37
"17","Alternative","Foo Fighters","Arrows","6JSryEdVJTZq6YBn3wK2sn",52,0.000209,0.515,266187,0.917,0.000476,"C#",0.145,-7.312,"Major",0.0417,121.988,"4/4",0.409
"18","Alternative","MARINA","Starring Role","7KDfz5EnLXiPVgSOUWwpre",46,0.122,0.529,206987,0.8,0,"C#",0.0704,-4.99,"Minor",0.067,143.992,"4/4",0.41
"19","Alternative","The Smashing Pumpkins","Ava Adore","6bVB2MGR7LcotAIB1vfpw6",51,0.000401,0.604,270893,0.844,0.214,"G#",0.0484,-6.003,"Major",0.0597,160.318,"4/4",0.791
"20","Alternative","Chevelle","Panic Prone","2BZYgf4QEl9DpllRjIiEUs",42,0.00762,0.215,229907,0.637,3.88e-05,"G",0.146,-6.215,"Minor",0.0341,152.911,"3/4",0.135
"21","Alternative","Welshly Arms","Indestructible","0uxAAkgJwHFyGvoRbuCXLm",54,0.0415,0.674,226413,0.611,1.13e-06,"D",0.0726,-6.322,"Minor",0.0363,175.929,"4/4",0.782
