country,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472,,,,,,,,,,,,,,,,,,,,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757,767,779,813,815,816,837,821,850,856,869,857,853,849,846,845,834,836,845,838,833,774,740,804,826,846,866,786,827,809,810,897,978,1010,995,962,1030,852,770,751,710,705,649,559,500,602,618,635,653,671,664,595,727,785,805,874,888,984,985,1160,1220,1260,1350,1350,1370,1420,1460,1500,1530
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601,,,,,,,,,,,,,,,,,,,,614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683,,,,,,,,,,,,,,,,,,,,915,,,,,,,,,,1050,,,,,,,,,,1190,,,1240,,,,,,,,,,,,,,,,1420,,,,,,,,,,,,,,,,,,,,,1530,1600,1600,1670,1720,1810,1830,1940,2030,2110,2220,2240,2310,2390,2470,2560,2660,2760,2860,2960,3070,3190,3310,3480,3490,3500,3520,3530,3550,3570,3590,3610,3630,3650,3670,3690,3720,3740,3760,3790,3830,2720,2500,2720,2920,3290,3570,3190,3590,3930,4200,4480,4600,4860,5120,5370,5650,5960,6370,6550,6750,6910,6970,7060,7200,7340,7490,7640,7790
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766,,,,,,,,,,,,,,,,,,,,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2430,2400,2450,2440,2560,2570,2760,3010,3060,3550,3720,3200,2550,3150,3210,3330,3070,3250,3520,3750,4000,3560,4180,4200,4320,4490,4640,4910,5370,5680,5610,5570,5750,5850,5990,6110,5880,5680,5420,5460,5250,5060,5020,4800,4650,4730,4820,4800,4970,5050,5100,5160,5290,5580,5790,6010,6020,6130,6160,6170,6300,6360,6420,6540,6660,6800,6950,7110,7270
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260,,,,,,,,,,,,,,,,,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32400,32200,33100,34000,34300,33000,32800,32600,32000,30800,30200,28700,27500,26600,25800,25500,25600,26600,27500,28300,28500,28100,27000,25500,25100,25100,25800,28100,29000,30100,30300,33300,34500,35900,37400,39000,39900,39200,37100,34700,33100,31600,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3360,3440,3520,3600,3450,3670,3550,3830,3970,3920,4010,4460,4270,4410,4830,5100,5310,5520,5350,5410,5650,5530,5470,5720,5470,3430,3050,3010,3070,3070,3080,2950,2760,2590,2530,2490,2220,2430,2730,2730,2780,2730,2630,1870,1850,1990,2160,2280,2380,2420,2450,2480,2770,2790,3010,3530,4150,4950,5490,5480,5500,5550,5840,6020,6270,6510,6740,6730,6930
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538,,,,,,,,,,,,,,,,,,,,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3950,4140,4330,4600,4680,4380,3990,4320,4540,5110,5530,5880,5970,6450,7020,7690,8510,9470,10400,11200,11600,11800,11700,12000,12500,11700,12100,12400,12600,12800,12700,12800,12900,13400,14100,14600,16200,17200,17200,15200,13900,13500,13700,14000,14400,14900,15400,15900,16500
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872,,,,,,,,,,,,,,,,,,,,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890,1870,2000,1840,1860,1770,1740,2140,2330,2430,2770,2700,2800,3160,3370,2980,2730,3180,3270,3670,3950,4250,3320,3500,4010,3420,3610,3440,3830,4130,4560,4580,4460,4690,4710,4830,4730,4920,4780,4090,3950,3770,3400,3960,4040,4260,4240,4450,4810,5040,4860,4960,5180,5360,5460,5080,4630,4390,4520,4790,4910,4870,5150,5090,5200,5200,5390,5370,5250,5760,5480,5850,6360,6560,6320,6250,6360,5910,6110,6240,6570,6630,6860,7160,6580,6990,7370,7130,6850,7450,8020,7960,8050,8280,8870,9210,9410,9440,9630,9990,9770,9610,10100,9600,10100,10100,9420,9000,9240,9300,8530,9030,9140,8850,8110,7850,8580,9310,9740,10200,9810,10300,11000,11300,10800,10600,9990,8800,9480,10200,11100,11900,12800,13500,13400,14500,15600,15700,16000,16300,16600,17000,17300,17600
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,,,,,,,,,,,,,,,,,,,,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481,462,539,517,480,477,436,476,538,610,563,619,607,622,659,643,658,713,662,731,646,616,590,643,666,709,654,705,739,704,723,700,583,486,405,385,365,396,429,466,505,548,594,644,699,729,733,721,746,813,927,988,1070,1060,1100,1050,,,,,,928,1030,1160,1260,1370,1350,1410,1440,1480,1580,1690,1690,1780,1730,1860,1930,1950,1870,2090,2180,2260,2330,2450,2460,2620,2670,2650,2850,2880,2840,2920,2930,2960,2890,2850,2830,2850,2890,2880,2850,2920,2910,2920,2920,2810,2440,1440,1380,1500,1630,1730,1790,1930,1990,2110,2330,2690,3080,3410,3900,4410,5010,5350,4550,4600,4770,5060,5220,5390,5560,5740,5930,6120
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672,,,,,,,,,,,,,,,,,,,,701,707,728,753,795,833,849,875,897,947,1150,1190,1210,1220,1280,1550,1520,1600,1580,1470,1860,1590,1450,1680,1910,1960,2170,2510,2870,2840,2670,3170,3720,4070,3570,3390,4130,3650,3110,4010,3920,3860,3710,3700,3920,3740,3850,4210,4270,4190,4430,4460,4810,5180,5190,5600,5420,5460,5790,5690,5800,6030,5500,6060,5830,5990,5860,6270,6100,6430,6030,6320,5410,5020,5100,4720,4990,4630,5270,5200,5430,5200,5170,5520,5810,5800,6100,6250,6350,6740,7050,6910,6900,6980,6800,6630,6600,6480,6230,6380,6450,6650,6850,7030,7330,7520,7540,7500,7380,7120,6370,5890,6180,6550,6850,7200,7470,7780,7970,7910,8350,9190,10200,10400,9960,9360,8930,9020,9430,9800,10000,10200,10000,10200,10500,10900,11000,11000,11200,11700,11900,11700,12200,12700,13300,13700,13900,14500,15100,15700,16300,16600,16800,17400,17600,17800,18400,18300,18600,19400,19500,19800,19500,19200,20300,21000,21200,21900,22500,23100,23200,22900,23400,24100,24800,25500,26200,27000,28200,29000,29200,30000,30700,31600,32100,32800,33200,34200,34400,34400,34900,35300,36100,36700,37400,38100,38800,39500,40300
Austria,1400,1400,1410,1410,1410,1410,1410,1410,1410,1410,1410,1410,1410,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430,1440,1440,1450,1450,1460,1460,1470,1470,1480,1490,1490,1500,1500,1510,1510,1520,1530,1530,1540,1540,1550,1580,1600,1630,1650,1680,1710,1730,1760,1790,1820,1840,1860,1880,1890,1910,1930,1950,1970,1990,2010,2030,2060,2080,2100,2120,2150,2170,2190,2220,2240,2260,2290,2310,2330,2350,2370,2400,2420,2440,2470,2480,2500,2520,2540,2550,2570,2590,2610,2620,2640,2810,2820,2730,2830,2830,2870,2950,3030,2990,3010,3120,3120,3220,3290,3250,3330,3540,3510,3450,3620,3720,3770,3770,3950,4030,4050,4110,4300,4360,4360,4350,4480,4480,4510,4730,4870,5130,5110,5060,5090,5210,5420,5360,4450,4100,4070,4000,3950,3500,3730,4100,4450,4400,4890,5210,5280,5420,5660,5720,5550,5090,4550,4380,4410,4500,4630,4880,5510,6340,6130,6520,6160,6290,5890,2670,3030,3350,4280,5090,5730,6130,6140,6400,7050,7820,8350,8840,9140,9360,10100,10600,10800,11100,11700,12000,12600,12800,13300,14100,15100,15800,16700,17400,18000,18000,18900,19800,19700,20800,21300,21200,21600,22300,22300,22800,23300,23700,24400,25300,26100,26700,27000,26900,27500,27900,28600,29100,30100,31000,32000,32200,32400,32700,33500,34100,35200,36300,36700,35200,35800,36600,36700,36900,37400,37800,38200,38600,39000
